City,State,MGrid,Zip,Lat/Long
"""LOS PACHECOS",NM,DM75dn,87552,"35.57  -105.67"""
"""LOWER LAPOSADA",NM,DM75dn,87552,"35.57  -105.67"""
"""PECOS NATIONAL MONUMENT",NM,DM75dn,87552,"35.57  -105.67"""
"""PINE",NM,DM75dn,87552,"35.57  -105.67"""
"""PENA BLANCA",NM,DM65un,87041,"35.57  -106.33"""
"""SILE",NM,DM65un,87041,"35.57  -106.33"""
"""COCHITI PUEBLO",NM,DM65to,87072,"35.6  -106.34"""
"""COCHITI PUBLO",NM,DM65to,87072,"35.6  -106.34"""
"""COCHITI LAKE",NM,DM65up,87083,"35.64  -106.33"""
"""PENASCO",NM,DM76de,87553,"36.17  -105.69"""
"""PICURIS",NM,DM76de,87553,"36.17  -105.69"""
"""RIO LUCIO",NM,DM76de,87553,"36.17  -105.69"""
"""PEP",NM,DM83it,88126,"33.83  -103.33"""
"""PERALTA",NM,DM64pt,87042,"34.82  -106.68"""
"""BOSQUE FARMS",NM,DM64pt,87042,"34.82  -106.68"""
"""BOSQUE FARMS",NM,DM64pu,87068,"34.85  -106.7"""
"""PERALTA",NM,DM64pu,87068,"34.85  -106.7"""
"""PETACA",NM,DM66xm,87554,"36.5  -106.01"""
"""PICACHO",NM,DM73ki,88343,"33.35  -105.14"""
"""PIE TOWN",NM,DM54uh,87827,"34.33  -108.28"""
"""PINON",NM,DM72ho,88344,"32.61  -105.39"""
"""DUNKEN",NM,DM72ho,88344,"32.61  -105.39"""
"""PLACITAS",NM,DM65sh,87043,"35.32  -106.46"""
"""POLVADERA",NM,DM64nd,87828,"34.13  -106.85"""
"""CROSSROADS",NM,DM83im,88114,"33.51  -103.33"""
"""PORTALES",NM,DM84he,88130,"34.18  -103.34"""
"""ARCH",NM,DM84he,88130,"34.18  -103.34"""
"""PREWITT",NM,DM55xi,87045,"35.36  -108.04"""
"""QUEMADO",NM,DM54oh,87829,"34.31  -108.79"""
"""OMEGA",NM,DM54oh,87829,"34.31  -108.79"""
"""RED HILL",NM,DM54oh,87829,"34.31  -108.79"""
"""QUESTA",NM,DM76er,87556,"36.71  -105.59"""
"""COLUMBINE",NM,DM76er,87556,"36.71  -105.59"""
"""LAMA",NM,DM76er,87556,"36.71  -105.59"""
